20,dcalco,10,TRUE,31,4,0.6356620173300466,0.5729067325592041,Mouse
20,dcalco,15,TRUE,35,2,0.5667987482888358,0.5441267490386963,Mouse
20,dcalco,20,TRUE,36,2,0.5357363886303372,0.5328693389892578,Mouse
20,dcalco,25,TRUE,39,2,0.5101617910923102,0.5018744468688965,Mouse
20,dcalco,30,TRUE,39,2,0.5119284788767496,0.5041885375976562,Mouse
20,dcalco,10,FALSE,27,3,0.7424409036283139,0.6579990386962891,1H
20,dcalco,15,FALSE,28,5,0.7051044191632952,0.7109991312026978,1H
20,dcalco,20,FALSE,35,5,0.5720366273607527,0.5530004501342773,1H
20,dcalco,25,FALSE,39,1,0.5138642971332257,0.46900010108947754,1H
20,dcalco,30,FALSE,39,3,0.5112677354079026,0.5749962329864502,1H
20,dcalco,10,FALSE,30,7,0.6416134675343831,0.6139838695526123,2H
20,dcalco,15,FALSE,29,6,0.6776912459011736,0.5689995288848877,2H
20,dcalco,20,FALSE,34,5,0.5825236404643339,0.5245022773742676,2H
20,dcalco,25,FALSE,39,4,0.5132776101430258,0.4760005474090576,2H
20,dcalco,30,FALSE,49,2,0.4079472240136594,0.3679995536804199,2H
20,mcprisk,10,TRUE,29,0,0.6757200421958134,0.7073042392730713,Mouse
20,mcprisk,15,TRUE,31,0,0.6326391773839151,0.6361064910888672,Mouse
20,mcprisk,20,TRUE,36,0,0.5556698706414964,0.5520457029342651,Mouse
20,mcprisk,25,TRUE,34,0,0.5784141386256498,0.5568537712097168,Mouse
20,mcprisk,30,TRUE,39,0,0.5019622460389749,0.5003495216369629,Mouse
20,mcprisk,10,FALSE,30,6,0.6646281083424886,0.5924997329711914,1H
20,mcprisk,15,FALSE,34,6,0.5617843305363375,0.4779996871948242,1H
20,mcprisk,20,FALSE,35,5,0.5729035445622035,0.49699974060058594,1H
20,mcprisk,25,FALSE,42,7,0.4743549142565046,0.4004995822906494,1H
20,mcprisk,30,FALSE,44,4,0.45291011983698065,0.3800008296966553,1H
20,mcprisk,10,FALSE,43,16,0.45371353903482126,0.33300018310546875,2H
20,mcprisk,15,FALSE,49,11,0.40726316218473474,0.3640007972717285,2H
20,mcprisk,20,FALSE,51,11,0.3901203473409017,0.32399749755859375,2H
20,mcprisk,25,FALSE,56,10,0.3570170998573303,0.27850306034088135,2H
20,mcprisk,30,FALSE,55,15,0.36329096447337755,0.3129997253417969,2H
